load data successfully ......
      Iter       Train Loss   Remaining Time 
         1           0.0006        15870.81m
         2           0.0005        15084.82m
         3           0.0004        14447.16m
         4           0.0003        14286.90m
         5           0.0003        14338.38m
         6           0.0002        14298.28m
         7           0.0002        14215.20m
         8           0.0001        14195.64m
         9           0.0001        14104.88m
        10           0.0001        13983.17m
        11           0.0001        13904.10m
        12           0.0001        13870.78m
        13           0.0000        13933.15m
        14           0.0000        13935.37m
        15           0.0000        13899.98m
        16           0.0000        13846.95m
        17           0.0000        13844.45m
        18           0.0000        13808.22m
        19           0.0000        13991.62m
        20           0.0000        13965.61m
        21           0.0000        13935.89m
        22           0.0000        13917.87m
        23           0.0000        13882.92m
        24           0.0000        13872.56m
        25           0.0000        13833.25m
        26           0.0000        13826.67m
        27           0.0000        13768.58m
        28           0.0000        13721.72m
        29           0.0000        13703.01m
        30           0.0000        13935.47m
        31           0.0000        13945.94m
        32           0.0000        13902.94m
        33           0.0000        14110.44m
        34           0.0000        14043.34m
        35           0.0000        14005.59m
        36           0.0000        13971.07m
        37           0.0000        13936.96m
        38           0.0000        13880.72m
        39           0.0000        13828.84m
        40           0.0000        13792.47m
        41           0.0000        13747.84m
        42           0.0000        13714.37m
        43           0.0000        13651.90m
        44           0.0000        13608.31m
        45           0.0000        13568.64m
        46           0.0000        13516.99m
        47           0.0000        13487.79m
        48           0.0000        13451.34m
        49           0.0000        13418.41m
        50           0.0000        13381.45m
        51           0.0000        13325.63m
        52           0.0000        13274.58m
        53           0.0000        13258.72m
        54           0.0000        13227.58m
        55           0.0000        13201.00m
        56           0.0000        13153.03m
        57           0.0000        13116.51m
        58           0.0000        13094.71m
        59           0.0000        13046.99m
        60           0.0000        12999.42m
        61           0.0000        12974.40m
        62           0.0000        12951.04m
        63           0.0000        12907.70m
        64           0.0000        12872.12m
        65           0.0000        13004.76m
        66           0.0000        12972.54m
        67           0.0000        12971.10m
        68           0.0000        12935.21m
        69           0.0000        12895.82m
        70           0.0000        12864.36m
        71           0.0000        12838.37m
        72           0.0000        12927.92m
        73           0.0000        12875.11m
        74           0.0000        12863.25m
        75           0.0000        12842.65m
        76           0.0000        12804.42m
        77           0.0000        12778.33m
        78           0.0000        12736.15m
        79           0.0000        12698.43m
        80           0.0000        12676.69m
        81           0.0000        12651.19m
        82           0.0000        12622.13m
        83           0.0000        12578.01m
        84           0.0000        12516.65m
        85           0.0000        12484.56m
        86           0.0000        12463.20m
        87           0.0000        12425.64m
        88           0.0000        12488.31m
        89           0.0000        12506.66m
        90           0.0000        12586.12m
        91           0.0000        12556.76m
        92           0.0000        12536.84m
        93           0.0000        12499.38m
        94           0.0000        12448.92m
        95           0.0000        12342.83m
        96           0.0000        12233.88m
        97           0.0000        12122.43m
        98           0.0000        12013.49m
        99           0.0000        11907.31m
       100           0.0000        11803.92m
       101           0.0000        11700.95m
       102           0.0000        11605.79m
       103           0.0000        11504.61m
       104           0.0000        11412.02m
       105           0.0000        11321.57m
       106           0.0000        11232.30m
